walk,age,floor,rent,area,rooms,ward_Adachi,ward_Arakawa,ward_Bunkyo,ward_Chiyoda,ward_Chuo,ward_Edogawa,ward_Itabashi,ward_Katsushika,ward_Kita,ward_Koto,ward_Meguro,ward_Minato,ward_Nakano,ward_Nerima,ward_Ota,ward_Setagaya,ward_Shibuya,ward_Shinagawa,ward_Shinjuku,ward_Suginami,ward_Sumida,ward_Taito,ward_Toshima,layout_type_DK,layout_type_K,layout_type_LDK,layout_type_LK,layout_type_R,layout_type_SDK,layout_type_SK,layout_type_SLDK
-0.8790236130541437,0.06306047280304446,-0.0055661123908722025,155000.0,-0.7219469608448876,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1.2285661977748439,0.16797879416227637,0.5169668875685627,159000.0,-0.6747633059078904,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-1.2285661977748439,0.06306047280304446,-0.26683261237058964,124000.0,-0.6721419917447239,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.8790236130541437,0.7974887223176679,-0.0055661123908722025,131000.0,-0.37724414838849013,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1.2285661977748439,-0.04185784855618745,-0.7893656123300244,129000.0,-0.6269243224301013,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1.2285661977748439,0.16797879416227637,0.2557003875888452,148000.0,-0.5895705956049783,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.16960414110795707,0.16797879416227637,-0.26683261237058964,117000.0,-0.6675546919591824,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.17993844361274317,0.6925704009584359,2.084565887446867,188000.0,0.2236921235174349,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.9276513672162445,-0.8812044194300428,0.2557003875888452,225000.0,0.2020662816713112,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.5294810283334435,-0.25169449127465127,1.5620328874874323,120000.0,-0.6537927926025582,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1.2285661977748439,-1.0910410621485065,0.5169668875685627,190000.0,-0.11970003185737915,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.8790236130541437,1.2171620077545955,1.0394998875279975,107000.0,-0.8333528127794648,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.5294810283334435,-0.3566128126338832,0.2557003875888452,135000.0,-0.9185455230823768,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.16960414110795707,-0.04185784855618745,1.5620328874874323,230000.0,0.31805943339143,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.5294810283334435,-0.46153113399311513,1.0394998875279975,138000.0,-0.5653234395956879,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.5294810283334435,0.16797879416227637,-0.528099112350307,750000.0,4.596044147679194,3.3859961641725778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.5294810283334435,1.846671935909987,1.5620328874874323,267000.0,1.4327732812779934,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.2285661977748439,1.846671935909987,-0.0055661123908722025,384000.0,2.3043602405308623,3.3859961641725778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.2285661977748439,-0.671367776711579,0.7782333875482801,152000.0,-0.6236476797261431,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-1.2285661977748439,-0.671367776711579,-0.528099112350307,158000.0,-0.3831421052556148,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.8790236130541437,-0.14677616991541936,1.300766387507715,350000.0,1.211272234490422,1.4758192748919967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8790236130541437,-0.14677616991541936,1.300766387507715,420000.0,1.452433137501742,1.4758192748919967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.2285661977748439,-0.25169449127465127,1.5620328874874323,360000.0,1.4819229218373655,1.4758192748919967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-1.2285661977748439,-0.25169449127465127,1.0394998875279975,380000.0,2.0822038652024992,3.3859961641725778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.8790236130541437,-0.671367776711579,-0.26683261237058964,244000.0,0.24859460806751701,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.8790236130541437,-0.671367776711579,-0.528099112350307,248000.0,0.24859460806751701,-0.4343576143885845,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
